name	x	y	linkId
Ostkreuz	4600000.480290992	5819700.802393827	85582
Suedkreuz	4592743.290166003	5816823.460886553	144360
Westkreuz/ZOB	4587018.550633609	5820077.051308585	59825
Gesundbrunnen	4594441.531831297	5824985.689612756	18796
Wedding	4592922.882076316	5824084.361963952	63685
Landsberger	4598961.639137452	5822763.996348945	147644
Neukölln	4598122.504532557	5816022.913872137	131523
Heidelberger	4589140.6734212255	5817067.241862115	79212
Jungfernheide	4588114.078276766	5822702.604874686	66841
