name	x	y	linkId
Lichtenrade	4595316.1257380900	5807025.3317876300	84509
Mahlsdorf	4610315.9413846600	5820213.2938243600	31781
Ahrensfelde	4606342.977	5827700.297	5427
Schildow	4593251.212	5834601.859	139066
Heerstra§e	4576442.352	5822346.358	143818
GlienickerBruecke	4574027.497	5809378.817	144058
