name	x	y	linkId
Ostkreuz	4600163.480290992	5819900.802393827	125468
Suedkreuz	4592790.875155885	5816693.505706288	123744
Westkreuz/ZOB	4587048.550633609	5820077.051308585	59825
Gesundbrunnen	4594521.531831297	5824985.689612756	18796
Wedding	4592892.882076316	5824054.361963952	63685
Landsberger	4598898.639137452	5822961.996348945	35769
Neukölln	4598082.504532557	5816052.913872137	131523
Heidelberger	4589120.6734212255	5817017.241862115	79212
Jungfernheide	4588053.078276766	5822714.604874686	66841
