link;x;y;drtVehicles
1105526086;799161.465;5828974.715;1
-1110773561;797658.7;5829823.005000001;1
-25121299;796004.3;5824604.635;1
879144133;800149.6000000001;5828018.595;2
-1082280838;790794.1799999999;5826180.115;2
-172219124#3;800957.1950000001;5825280.915;2
-172219124#2;800784.9199999999;5825351.18;1
-172078325#2;797766.96;5829163.37;1
-188866872;801220.54;5826220.115;4
-945952634;800153.915;5823466.045;3
-172078325#3;797845.95;5829073.68;1
-172078325#4;797926.3300000001;5828981.785;1
-989227398;800188.8200000001;5825297.88;4
1101326645#1;797908.535;5825134.949999999;1
-62114953;795786.73;5824966.86;3
-18908134#0;801154.375;5822795.84;2
-1095918847#0;795612.975;5824827.055;1
-18908134#1;801177.685;5822708.765;1
-1095918847#1;795618.5700000001;5824571.455;2
-816324773#2;799677.3;5824587.99;1
-4515626#0;791699.31;5826424.62;1
-1119962212#2;792298.235;5826883.42;3
109819106#0;799103.675;5828948.3149999995;1
-4515626#3;791822.755;5826438.655;2
-6074785;793666.9450000001;5827250.47;2
-37853469;793443.23;5824037.34;1
-881391858;792932.255;5828736.055;12
-34024122;790927.63;5827732.765000001;5
-4615212#1;801150.565;5829762.695;1
-182623931;798669.6599999999;5826826.35;1
460217101;801315.6499999999;5829327.49;2
870399664#0;801094.71;5824149.6899999995;3
61816619;796052.94;5828131.475;4
-1107180833;795234.0700000001;5824883.15;1
1002238499;801562.51;5822960.13;1
318282844;802713.4199999999;5827684.699999999;1
-1107180832;795226.9099999999;5824752.925000001;3
1101139243#0;794803.54;5826207.300000001;1
151527796#0;793927.755;5825854.695;1
-1107180831;794792.0349999999;5825194.595000001;2
-37247537;792515.745;5827490.359999999;4
311690284;799626.76;5828395.6899999995;1
-4615212#4;801251.05;5829693.26;3
248010194;796548.52;5828691.039999999;3
763409033#1;794818.6599999999;5824890.615;2
-11405307#2;795196.3200000001;5825680.1899999995;2
-4615603;800011.0;5827543.359999999;1
-1078972931#2;791932.335;5825737.975;2
327462540#0;792598.2949999999;5826109.385;1
-146693079;803364.475;5827493.779999999;1
-1089409019;800698.54;5826067.54;1
26472938#0;798004.29;5825433.915;1
-909979177#0;793222.27;5824148.6;1
-1052698780;799629.345;5830086.585;2
-106471823;799743.825;5826295.49;1
24913304#1;797331.2749999999;5827549.1899999995;3
-4396233;794297.3049999999;5824581.52;2
-4396234;794388.0449999999;5824734.3149999995;2
1083449371;800892.05;5827877.4350000005;2
-202156991;798438.11;5827998.5600000005;1
-36944882#0;794675.49;5829380.75;2
-36944882#1;794875.8;5829430.109999999;2
-1044407954#2;797572.215;5825241.390000001;1
-1110378248;793163.795;5827090.865;3
-744158640;801636.4299999999;5824303.175;5
35372734#0;797436.56;5829334.85;2
4686360#0;799284.435;5824986.26;9
