Stop ID,Link ID,X,Y
129985,129985,4589370.87387105,5818292.4181944085
70219,70219,4589013.322548147,5817959.815478366
113880,113880,4598006.410356174,5816552.120669014
45821,45821,4596045.250904418,5818577.774550064
pt_2267,pt_2267,4595405.273383911,5818787.344155525
138322,138322,4589320.395422957,5818992.841341924
44872,44872,4598120.824472124,5823313.104022043
43666,43666,4591261.984549847,5819293.326561027
115596,115596,4599188.237380141,5819447.329664124
45871,45871,4596080.455278851,5818537.378791838
138771,138771,4591197.1077817045,5817783.210846337
139623,139623,4598479.1672696415,5820775.802674911
2953,2953,4593899.791199392,5823630.087485641
131092,131092,4591015.029601713,5818262.282543646
18904,18904,4594724.661629924,5824249.116740413
53109,53109,4589926.426801348,5819120.927730868
113325,113325,4597590.522797183,5817398.189339482
135509,135509,4594831.761346799,5823062.375320787
104257,104257,4592160.444930972,5822245.8784949975
130743,130743,4593374.7351091765,5822540.300932358
95027,95027,4595109.826961345,5823851.273405029
64476,64476,4596817.25235475,5824130.219961693
72700,72700,4593186.846985493,5823759.074292729
118810,118810,4592002.347583492,5822542.162503814
137714,137714,4592461.480586877,5817696.557902675
pt_348,pt_348,4597938.276884151,5817475.341667853
33260,33260,4589623.97997787,5821493.667692482
pt_116,pt_116,4595870.277329657,5822045.359628793
47660,47660,4596024.397347232,5818602.51160485
74779,74779,4596742.343463753,5819517.992013213
158798,158798,4592714.688472834,5816756.603194199
62087,62087,4591307.321801141,5822971.237793631
pt_3988,pt_3988,4593284.247499763,5816589.2854809575
89859,89859,4591467.936478711,5817851.684313137
51780,51780,4596076.528628826,5824501.910865147
30431,30431,4594814.488279316,5818499.621328347
21319,21319,4595476.781113841,5820972.231137086
pt_40352,pt_40352,4595206.251449527,5822776.309717834
138162,138162,4588862.966475177,5819900.798339961
30231,30231,4595742.844938871,5820810.229488542
118809,118809,4592056.752043352,5822440.568327316
20880,20880,4594266.483292757,5817016.215080932
84776,84776,4591062.338546834,5817900.130623047
87989,87989,4593591.567959601,5821901.276628105
49311,49311,4590461.469698075,5821482.602124288
122092,122092,4599334.349465644,5819649.637444097
64353,64353,4596487.374389784,5819088.807140976
50815,50815,4588408.133533256,5822483.00120609
112721,112721,4590441.804418369,5822598.000119703
105334,105334,4589889.4463922,5819930.487190313
35342,35342,4597104.431628127,5821227.29708221
121555,121555,4599206.4490126455,5821671.009882664
145712,145712,4590241.222352557,5823033.99094644
113815,113815,4596970.784385973,5819420.295697088
67863,67863,4593558.725228179,5821946.887827379
74956,74956,4595370.9343004,5821140.978044293
19002,19002,4591458.289377753,5818179.773437609
3622,3622,4595219.116119517,5819284.848249016
86451,86451,4598510.366858184,5820410.676598288
94432,94432,4595199.7524638,5818761.168365243
12748,12748,4588316.175707381,5819846.75714324
pt_39826,pt_39826,4595030.182938809,5823086.567029331
104683,104683,4590899.093900325,5821162.31545992
111647,111647,4599150.221630084,5821482.497838956
46774,46774,4595133.672195942,5820475.1493658675
76215,76215,4588932.923399382,5818507.843159463
81095,81095,4598049.592126461,5819346.3322426025
68037,68037,4590728.887016779,5821027.886564476
67823,67823,4596347.822690441,5819773.479413177
107633,107633,4592726.34643318,5819117.133602684
35276,35276,4598288.719142133,5821647.481507673
41513,41513,4589321.836950109,5820056.780914952
151362,151362,4595414.996637961,5821956.48801869
pt_302,pt_302,4592541.253740872,5817881.319414763
104919,104919,4597128.860154986,5821860.914368702
16341,16341,4588243.705951863,5819448.658346693
34533,34533,4598046.208464702,5817053.174064886
pt_40516,pt_40516,4593636.260684814,5824411.373404922
pt_39838,pt_39838,4595030.182938809,5823086.567029331
115008,115008,4595871.895597761,5822352.778164816
122277,122277,4598214.821021171,5819648.055537106
156237,156237,4591258.8152549025,5818332.79273369
49703,49703,4593606.3755277535,5822013.303418723
67972,67972,4592518.991976766,5817158.43034535
pt_38596,pt_38596,4587723.222315477,5818954.321443435
71565,71565,4598335.34665789,5819559.7723929435
117070,117070,4591879.569754096,5817862.856124493
138401,138401,4588745.3510455005,5818988.540179471
81081,81081,4589948.421988612,5817850.295649628
41165,41165,4597607.847853154,5816340.2589604035
74299,74299,4588404.738111707,5822597.852878228
10276,10276,4597351.822354129,5815941.879919342
pt_42525,pt_42525,4596366.25689957,5821209.338168206
265,265,4597023.796631483,5819523.806413545
pt_43441,pt_43441,4591211.2243373385,5821401.358169545
31677,31677,4596170.543050967,5820740.057356328
87650,87650,4588422.294809712,5819551.34803697
152678,152678,4599612.035645212,5821899.213493463
4292,4292,4591902.901892975,5819972.183277783
119918,119918,4590825.4887180915,5821988.982816431
41762,41762,4590707.38437981,5821568.723265721
138158,138158,4589003.924153939,5820066.874299442
pt_43390,pt_43390,4594621.251593917,5824117.295969013
pt_5499,pt_5499,4598706.262813672,5820911.373253832
19374,19374,4594055.680821593,5816800.784711626
112934,112934,4598776.1273481855,5819893.506434125
89015,89015,4596678.045183213,5822582.766835522
11244,11244,4593776.305255406,5823815.847989014
12263,12263,4591158.507087017,5822310.0557023
67344,67344,4594837.849791189,5821141.168151091
10836,10836,4592735.499172574,5819168.063417363
74752,74752,4597603.974500594,5821858.685770011
149700,149700,4587193.325408261,5820032.941241305
74961,74961,4590799.174901692,5820963.4380398635
107808,107808,4593859.902992892,5824020.4458524715
pt_40321,pt_40321,4594621.251593917,5824117.295969013
147395,147395,4588650.737008248,5818923.697058461
