x	y	name	linkId
803423.083216846	5826197.14020245	Ostkreuz	85582
796287.563921369	5823018.82213664	Suedkreuz	144360
790429.323622829	5826033.37230971	Westkreuz/ZOB	59825
797645.816028259	5831249.28868109	Gesundbrunnen	18796
796165.119199222	5830285.03772486	Wedding	63685
802257.101693885	5829216.29900539	Landsberger	147644
801698.535017269	5822442.12124696	Neukoelln	131523
792675.910873038	5823112.75716145	Heidelberger	79212
791415.290562827	5828703.64259912	Jungfernheide	66841
799429.370961514	5831303.26983335	Schoenhauser	52866
800244.35935017	5831037.68100358	Prenzlauer	147541
801063.753953937	5830526.60304137	Greifswalder	34115
802685.158792228	5828793.65718825	Storkower	36983
803652.375183141	5827550.87469243	Frankfurter	3501
802674.450071125	5825123.64346246	Treptower	122012
802653.969136658	5822984.85821833	Sonnenallee	120486
800917.431257339	5822241.79538625	Hermann	134367
797794.817481248	5822286.18968272	Tempelhof	85286
795653.502432585	5823276.17240724	Schoeneberg	77116
794845.852133743	5823111.55438667	Innsbrucker	23130
793991.523496442	5823012.38101343	Bundesplatz	87243
791869.726002985	5823890.40380489	Hohenzollerndamm	53378
791265.558705183	5824719.85682939	Halensee	98925
790652.850230076	5825427.25322882	Westkreuz	47623
790484.809468856	5827383.55437107	Westend	68014
793282.180530753	5829385.66298005	Beusselstrasse	15415
794544.180248755	5829773.58135516	Westhafen	13360
